number,codeinsee,codepostal,cp,etage,idagence,idannonce,idtiers,idtypechauffage,idtypecommerce,idtypecuisine,idtypepublicationsourcecouplage,naturebien,nb_chambres,nb_photos,nb_pieces,position,prix,si_balcon,si_sdEau,si_sdbain,surface,typedebien,ville
11,750116,75016,75016,0,178817,144013899,227883,0,0,équipée,SL,1,2,13,3,11,59000,1,0,0,69,Appartement,Paris 16ème
8,750110,75010,75010,0,12089,149750677,3765,0,0,aucune,SL,1,2,7,1,8,77500,0,0,0,8.49,Appartement,Paris 10ème
6,750118,75018,75018,0,115811,138648733,108873,0,0,aucune,SL,1,1,8,2,6,94000,0,0,0,37,Appartement,Paris 18ème
16,750110,75010,75010,0,12089,149750679,3765,0,0,aucune,SL,1,2,4,1,16,96000,0,0,0,10.26,Appartement,Paris 10ème
4,750116,75016,75016,0,97567,147153067,145098,0,0,0,SL,1,1,5,2,4,100000,0,0,0,14.93,Appartement,Paris 16ème
0,770288,77000,77000,0,274799,149790411,302393,0,0,équipée,SL,1,1,5,2,0,110000,0,0,0,38.65,Appartement,Melun
2,910174,91100,91100,0,2855,140705709,13760,0,0,0,SL,1,1,12,2,2,110000,1,0,0,41.57,Appartement,Corbeil Essonnes
14,750116,75016,75016,0,89064,145549111,6151,0,0,équipée,SL,1,1,6,3,14,110000,1,0,0,72,Appartement,Paris 16ème
6,910223,91150,91150,0,252611,150029235,275082,0,0,coin cuisine équipé,SL,1,1,8,2,6,111000,1,0,0,43,Appartement,Étampes
3,780314,78440,78440,0,292153,145288899,334060,0,0,coin cuisine,SL,1,2,7,3,3,111000,0,0,0,48,Appartement,Issou
5,780335,78520,78520,0,125215,145322775,180692,0,0,équipée,SL,1,2,5,3,5,111000,0,0,0,45.18,Appartement,Limay
7,910174,91100,91100,0,2855,149869989,13760,0,0,0,SL,1,1,10,2,7,112000,0,0,0,43.1,Appartement,Corbeil Essonnes
8,910228,91000,91000,0,332892,148677607,396146,0,0,séparée,SL,1,1,9,2,8,113000,1,0,0,50,Appartement,Évry
9,770014,77210,77210,0,274799,146756627,302393,0,0,séparée équipée,SL,1,2,5,3,9,114000,1,0,0,59.14,Appartement,Avon
10,910228,91000,91000,0,102188,149067063,153025,0,0,équipée,SL,1,1,6,2,10,114100,1,0,0,48.03,Appartement,Evry
11,930066,93200,93200,0,10742,146080425,138250,0,0,coin cuisine,SL,1,1,5,2,11,114900,0,0,0,26,Appartement,Saint-Denis
12,780314,78440,78440,0,292153,138526073,334060,0,0,aucune,SL,1,1,7,2,12,115000,0,0,0,39.73,Appartement,Issou
16,780621,78190,78190,0,128913,145592463,187758,0,0,séparée,SL,1,2,5,3,16,115500,0,0,0,56,Appartement,Trappes
17,910174,91100,91100,0,274794,148044999,297232,0,0,américaine,SL,1,1,6,2,17,116500,0,0,0,40.2,Appartement,Corbeil Essonnes
18,910521,91130,91130,0,110530,143417371,166549,0,0,séparée,SL,1,3,5,4,18,118000,1,0,0,70,Appartement,Ris Orangis
6,750119,75019,75019,0,276911,146661215,271644,0,0,aucune,SL,1,2,11,2,6,120000,0,0,0,40,Appartement,Paris 19ème
17,750110,75010,75010,0,103740,146850545,155648,0,0,coin cuisine,SL,1,1,9,2,17,127000,0,0,0,14,Appartement,Paris 10ème
18,750114,75014,75014,0,127449,145009113,48467,0,0,équipée,SL,1,1,9,2,18,128000,1,0,0,39,Appartement,Paris 14ème
0,910215,91860,91860,0,812,146998327,1737,0,0,américaine équipée,SL,1,2,3,3,0,129000,0,0,0,66,Appartement,Épinay-sous-Sénart
1,950218,95610,95610,0,255095,147457955,275801,0,0,aucune,SL,1,2,3,3,1,129000,1,0,0,66,Appartement,Eragny sur Oise
3,950018,95100,95100,0,308616,149819375,351152,0,0,coin cuisine,SL,1,1,8,2,3,130000,0,0,0,48.6,Appartement,Argenteuil
6,910174,91100,91100,0,274794,150002089,297232,0,0,américaine,SL,1,1,3,2,6,133000,0,0,0,41.3,Appartement,Corbeil Essonnes
7,950060,95550,95550,0,295007,146992585,337223,0,0,équipée,SL,1,1,3,2,7,134000,0,0,0,31,Appartement,Bessancourt
8,910223,91150,91150,0,32649,147401203,15746,0,0,0,SL,1,3,9,4,8,134175,0,0,0,74,Appartement,Etampes
9,910425,91310,91310,0,254363,145838379,275471,0,0,coin cuisine,SL,1,1,4,2,9,135000,0,0,0,50,Appartement,Montlhery
10,930032,93220,93220,0,27956,134044143,107851,0,0,américaine,SL,1,1,10,3,10,135000,0,0,0,135,Appartement,Gagny
11,910235,91700,91700,0,262764,148554927,284398,0,0,aucune,SL,1,1,3,2,11,138000,1,0,0,38.6,Appartement,Fleury Merogis
12,770014,77210,77210,0,294785,149901841,335405,0,0,séparée,SL,1,1,9,2,12,138500,0,0,0,45,Appartement,Avon
13,770514,77270,77270,0,51843,134800541,29112,0,0,0,SL,1,1,3,2,13,139000,1,0,0,45,Appartement,Villeparisis
14,910425,91310,91310,0,254363,147413543,275471,0,0,0,SL,1,1,3,2,14,139000,0,0,0,49,Appartement,Montlhery
15,950250,95470,95470,0,33813,147904929,6476,0,0,0,SL,1,1,7,2,15,139000,1,0,0,56,Appartement,Fosses
16,930074,93410,93410,0,2291,143906299,4433,0,0,coin cuisine,SL,1,1,6,2,16,139000,0,0,0,42,Appartement,Vaujours
17,910692,91940,91940,0,41251,137979081,26733,0,0,séparée,SL,1,2,4,4,17,139900,0,0,0,76.1,Appartement,Les Ulis
19,770284,77100,77100,0,38825,150188181,12038,0,0,aucune,SL,1,1,3,2,19,143000,1,0,0,42,Appartement,Meaux
0,950500,95300,95300,0,4626,149618327,9777,0,0,0,SL,1,1,6,2,0,145000,0,0,0,36.43,Appartement,Pontoise
1,950127,95800,95800,0,86501,115227767,125179,0,0,américaine équipée,SL,1,1,4,2,1,146000,0,0,0,46,Appartement,Cergy
2,780642,78480,78480,0,8625,149532809,4532,0,0,équipée,SL,1,2,11,3,2,146000,0,0,0,65,Appartement,Verneuil sur Seine
3,780642,78480,78480,0,89388,146809663,136568,0,0,équipée,SL,1,3,6,4,3,147000,1,0,0,71,Appartement,Verneuil sur Seine
5,780621,78190,78190,0,283062,144377921,325671,0,0,américaine équipée,SL,1,1,5,2,5,148000,1,0,0,46,Appartement,Trappes
6,930066,93200,93200,0,10742,136630107,138250,0,0,aucune,SL,1,1,8,2,6,148000,0,0,0,33,Appartement,Saint-Denis
7,770053,77170,77170,0,5868,149537833,18361,0,0,coin cuisine,SL,1,1,6,2,7,148000,1,0,0,38.6,Appartement,Brie Comte Robert
1,750118,75018,75018,0,53912,149312351,49301,0,0,séparée,SL,1,1,8,3,1,148000,1,0,0,65.87,Appartement,Paris 18ème
8,780123,78955,78955,0,51705,125961937,29248,0,0,américaine équipée,SL,1,1,6,2,8,149000,1,0,0,33,Appartement,Carrieres sous Poissy
12,770226,77850,77850,0,294785,146500217,335405,0,0,américaine équipée,SL,1,1,7,3,12,149000,0,0,0,57,Appartement,Héricy
15,910312,91430,91430,0,6818,148266277,25703,0,0,équipée,SL,1,1,4,2,15,149000,0,0,0,29,Appartement,Igny
5,750120,75020,75020,0,100028,150014531,149605,0,0,équipée,SL,1,1,10,2,5,149000,1,0,0,26.7,Appartement,Paris 20ème
11,930057,93320,93320,0,295867,144181265,338076,0,0,équipée,SL,1,2,5,3,11,149000,0,0,0,51,Appartement,Les Pavillons-sous-Bois
13,910386,91540,91540,0,261154,142292721,283033,0,0,équipée,SL,1,2,5,3,13,149000,0,0,0,75.5,Appartement,Mennecy
14,910649,91710,91710,0,261154,148235413,283033,0,0,séparée équipée,SL,1,2,6,3,14,149000,0,0,0,57.2,Appartement,Vert le Petit
16,910434,91390,91390,0,144575,149069329,207772,0,0,équipée,SL,1,2,7,4,16,149000,1,0,0,64,Appartement,Morsang-sur-Orge
18,910339,91310,91310,0,28976,149390491,10474,0,0,0,SL,1,2,11,3,18,149000,1,0,0,63.79,Appartement,Linas
19,940047,94520,94520,0,10855,147401275,13753,0,0,0,SL,1,2,9,3,19,149000,0,0,0,45.91,Appartement,Mandres les Roses
13,750117,75017,75017,0,7718,149103769,12356,0,0,aucune,SL,1,1,14,2,13,155000,0,0,0,14,Appartement,Paris 17ème
10,930078,93420,93420,0,92079,144929075,117354,0,0,0,SL9,2,1,3,2,10,164000,1,0,0,45,Appartement,Villepinte
8,750116,75016,75016,0,115811,144187639,108873,0,0,séparée,SL,1,1,4,2,8,170000,1,0,0,39.49,Appartement,Paris 16ème
13,750110,75010,75010,0,12089,147458575,3765,0,0,aucune,SL,1,2,12,1,13,170000,0,0,0,18.75,Appartement,Paris 10ème
19,750116,75016,75016,0,75899,147889467,105949,0,0,aucune,SL,1,1,11,2,19,178000,0,0,0,18.53,Appartement,Paris 16ème
0,750114,75014,75014,0,53912,145600289,49301,0,0,séparée,SL,1,2,7,3,0,178140,1,0,0,72.81,Appartement,Paris 14ème
5,750118,75018,75018,0,161218,146077449,213668,0,0,séparée équipée,SL,1,2,8,3,5,182500,0,0,0,68,Appartement,Paris 18ème
4,750118,75018,75018,0,328810,146842111,389919,0,0,américaine,SL,1,1,8,2,4,185000,0,0,0,20,Appartement,Paris 18ème
10,750119,75019,75019,0,3681,149410495,4928,0,0,coin cuisine,SL,1,1,5,2,10,190000,0,0,0,20,Appartement,Paris 19ème
10,750102,75002,75002,0,115811,131847975,108873,0,0,séparée,SL,1,1,5,2,10,195000,0,0,0,46,Appartement,Paris 2ème
17,750118,75018,75018,0,116872,149963097,173688,0,0,coin cuisine équipé,SL,1,1,4,2,17,199500,0,0,0,20.12,Appartement,Paris 18ème
0,750120,75020,75020,0,103666,147759237,155429,0,0,séparée équipée,SL,1,1,5,3,0,200000,1,0,0,74,Appartement,Paris 20ème
18,750116,75016,75016,0,89064,143932669,6151,0,0,0,SL,1,3,5,4,18,200000,1,0,0,112,Appartement,Paris 16ème
15,750115,75015,75015,0,44123,149985005,19626,0,0,séparée équipée,SL,1,2,9,3,15,212000,1,0,0,61.62,Appartement,Paris 15ème
16,750117,75017,75017,0,11695,149458941,2017,0,0,américaine équipée,SL,1,2,8,2,16,213000,0,0,0,22,Appartement,Paris 17ème
15,930078,93420,93420,0,92079,144929191,117354,0,0,0,SL9,2,2,3,3,15,213000,1,0,0,65,Appartement,Villepinte
8,750116,75016,75016,0,46293,148900093,22485,0,0,séparée équipée,SL,1,1,10,2,8,222000,0,0,0,35.1,Appartement,Paris 16ème
10,750120,75020,75020,0,320180,149345383,270256,0,0,séparée,SL,1,1,8,2,10,226400,1,0,0,47.3,Appartement,Paris 20ème
11,750120,75020,75020,0,157529,149527129,213985,0,0,0,SL,1,1,5,2,11,230000,0,0,0,23,Appartement,Paris 20ème
12,750117,75017,75017,0,37824,149585157,8523,0,0,américaine équipée,SL,1,1,15,2,12,234700,0,0,0,19,Appartement,Paris 17ème
8,750110,75010,75010,0,30812,147546215,21625,0,0,aucune,SL,1,1,7,2,8,235000,0,0,0,24,Appartement,Paris 10ème
12,750119,75019,75019,0,86147,149497905,125696,0,0,coin cuisine équipé,SL,1,1,9,2,12,235000,0,0,0,22,Appartement,Paris 19ème
14,750117,75017,75017,0,116480,150244505,172499,0,0,0,SL,1,1,11,2,14,235000,1,0,0,26,Appartement,Paris 17ème
19,750117,75017,75017,0,64226,148510423,78346,0,0,aucune,SL,1,1,8,3,19,240000,0,0,0,26.08,Appartement,Paris 17ème
0,750114,75014,75014,0,328418,149525727,303900,0,0,0,SL,1,1,6,2,0,240000,0,0,0,23,Appartement,Paris 14ème
2,750106,75006,75006,0,111368,149674611,323554,0,0,coin cuisine,SL,1,1,8,2,2,240000,0,0,0,18,Appartement,Paris 6ème
4,750120,75020,75020,0,119592,147918841,178277,0,0,américaine,SL,1,1,4,2,4,244000,0,0,0,25.25,Appartement,Paris 20ème
5,750118,75018,75018,0,87587,148095341,128648,0,0,équipée,SL,1,1,4,2,5,245000,0,0,0,22,Appartement,Paris 18ème
6,750103,75003,75003,0,99330,132702787,148515,0,0,américaine,SL,1,1,5,2,6,245000,0,0,0,28,Appartement,Paris 3ème
10,750110,75010,75010,0,86147,149716929,125696,0,0,0,SL,1,2,4,3,10,247800,0,0,0,26,Appartement,Paris 10ème
13,750119,75019,75019,0,9014,148740291,923,0,0,séparée,SL,1,1,7,2,13,248000,0,0,0,25.25,Appartement,Paris 19ème
12,750114,75014,75014,0,240271,148599485,265828,0,0,aucune,SL,1,1,9,2,12,249000,0,0,0,20.3,Appartement,Paris 14ème
17,750108,75008,75008,0,7718,149857665,12356,0,0,équipée,SL,1,2,10,1,17,250000,0,0,0,17,Appartement,Paris 8ème
2,750120,75020,75020,0,166283,148127891,221571,0,0,coin cuisine,SL,1,1,4,2,2,254000,0,0,0,28,Appartement,Paris 20ème
4,750118,75018,75018,0,82271,143297639,119876,0,0,0,SL,1,1,4,2,4,255000,0,0,0,27,Appartement,Paris 18ème
6,750115,75015,75015,0,101540,146970685,152019,0,0,coin cuisine,SL,1,1,4,2,6,256000,0,0,0,22.77,Appartement,Paris 15ème
10,750120,75020,75020,0,295108,146618165,337221,0,0,équipée,SL,1,1,4,2,10,259000,0,0,0,29,Appartement,Paris 20ème
12,750118,75018,75018,0,99330,148189081,148515,0,0,américaine,SL,1,1,9,2,12,259000,0,0,0,34,Appartement,Paris 18ème
13,750120,75020,75020,0,295108,149529899,337221,0,0,équipée,SL,1,1,5,2,13,259000,0,0,0,29,Appartement,Paris 20ème
14,750120,75020,75020,0,295108,150014533,337221,0,0,équipée,SL,1,1,6,2,14,259000,0,0,0,29,Appartement,Paris 20ème
18,750118,75018,75018,0,243280,145949743,271695,0,0,américaine,SL,1,1,7,2,18,260000,0,0,0,25,Appartement,Paris 18ème
19,750116,75016,75016,0,8787,148283687,2186,0,0,séparée,SL,1,1,8,2,19,260000,1,0,0,48,Appartement,Paris 16ème
17,750105,75005,75005,0,123425,147140445,182547,0,0,équipée,SL,1,2,13,3,17,260000,1,0,0,89,Appartement,Paris 5ème
14,750114,75014,75014,0,79583,148563247,113989,0,0,coin cuisine,SL,1,1,5,2,14,262000,0,0,0,24.5,Appartement,Paris 14ème
3,750120,75020,75020,0,27791,148393899,937,0,0,0,SL,1,1,6,2,3,262000,0,0,0,37.44,Appartement,Paris 20ème
9,750111,75011,75011,0,31748,148475945,157315,0,0,coin cuisine,SL,1,1,2,2,9,265000,0,0,0,29,Appartement,Paris 11ème
8,750109,75009,75009,0,31854,145632943,14564,0,0,aucune,SL,1,1,7,2,8,265000,1,0,0,19.01,Appartement,Paris 9ème
11,750119,75019,75019,0,246188,148666707,29387,0,0,séparée équipée,SL,1,1,5,2,11,265000,0,0,0,34.67,Appartement,Paris 19ème
17,750109,75009,75009,0,12089,149545243,3765,0,0,aucune,SL,1,1,11,2,17,265000,0,0,0,21,Appartement,Paris 9ème
19,750114,75014,75014,0,312542,149193903,348725,0,0,séparée équipée,SL,1,1,5,3,19,265000,0,0,0,27.1,Appartement,Paris 14ème
0,750113,75013,75013,0,330830,149815601,391853,0,0,américaine,SL,1,1,6,2,0,265000,0,0,0,31.27,Appartement,Paris 13ème
13,750117,75017,75017,0,343729,149196989,149594,0,0,coin cuisine,SL,1,2,7,2,13,265000,0,0,0,27,Appartement,Paris 17ème
18,750113,75013,75013,0,173963,149604217,200229,0,0,équipée,SL,1,2,9,3,18,265000,0,0,0,43.11,Appartement,Paris 13ème
5,750115,75015,75015,0,52067,147337159,2063,0,0,séparée,SL,1,2,10,3,5,270000,0,0,0,81.1,Appartement,Paris 15ème
18,950018,95100,95100,0,92079,143582855,117354,0,0,0,SL9,2,3,3,4,18,271000,1,0,0,78,Appartement,Argenteuil
19,930078,93420,93420,0,92079,144929247,117354,0,0,0,SL9,2,3,3,4,19,271000,1,0,0,80,Appartement,Villepinte
10,750118,75018,75018,0,306996,150158135,349205,0,0,0,SL,1,1,5,2,10,272000,0,0,0,24,Appartement,Paris 18ème
12,750110,75010,75010,0,86147,149133605,125696,0,0,équipée,SL,1,1,5,2,12,273000,0,0,0,26,Appartement,Paris 10ème
13,750119,75019,75019,0,90440,150002385,138172,0,0,américaine,SL,1,1,8,2,13,273000,0,0,0,26,Appartement,Paris 19ème
12,750119,75019,75019,0,93638,149222127,140587,0,0,-1,SL,1,1,3,2,12,273240,0,0,0,27.77,Appartement,Paris 19ème
8,750118,75018,75018,0,36479,143218061,7710,0,0,séparée,SL,1,1,2,2,8,275000,0,0,0,30,Appartement,Paris 18ème
15,750120,75020,75020,0,78605,135480325,58314,0,0,coin cuisine,SL,1,1,6,2,15,275000,0,0,0,32,Appartement,Paris 20ème
16,750111,75011,75011,0,255223,145416383,2578,0,0,séparée,SL,1,1,4,2,16,275000,0,0,0,27,Appartement,Paris 11ème
18,750116,75016,75016,0,268193,146062405,286841,0,0,séparée équipée,SL,1,1,6,2,18,275000,1,0,0,56,Appartement,Paris 16ème
19,750116,75016,75016,0,89064,146055799,6151,0,0,équipée,SL,1,1,5,2,19,275000,1,0,0,56,Appartement,Paris 16ème
1,750113,75013,75013,0,173963,149564193,200229,0,0,équipée,SL,1,1,10,2,1,275000,0,0,0,37,Appartement,Paris 13ème
3,750120,75020,75020,0,108449,149739851,156721,0,0,aucune,SL,1,1,5,2,3,275000,0,0,0,35,Appartement,Paris 20ème
6,750116,75016,75016,0,46293,146961193,22485,0,0,séparée équipée,SL,1,1,9,2,6,277000,0,0,0,52.29,Appartement,Paris 16ème
0,750112,75012,75012,0,170542,149910097,202312,0,0,coin cuisine,SL,1,1,5,2,0,278000,0,0,0,26,Appartement,Paris 12ème
7,750117,75017,75017,0,291111,145737363,333564,0,0,0,SL,1,1,5,2,7,279000,0,0,0,28,Appartement,Paris 17ème
12,750111,75011,75011,0,100028,148205417,149605,0,0,séparée équipée,SL,1,1,6,2,12,280000,0,0,0,26.48,Appartement,Paris 11ème
13,750119,75019,75019,0,45437,148734341,3706,0,0,séparée,SL,1,1,19,2,13,280000,0,0,0,36.4,Appartement,Paris 19ème
15,750118,75018,75018,0,11540,150037087,12081,0,0,coin cuisine,SL,1,1,8,2,15,280000,0,0,0,30,Appartement,Paris 18ème
16,750118,75018,75018,0,82271,146850541,119876,0,0,séparée,SL,1,1,6,2,16,280000,0,0,0,34,Appartement,Paris 18ème
2,750110,75010,75010,0,338296,149446703,399108,0,0,aucune,SL,1,1,14,2,2,285000,0,0,0,24.12,Appartement,Paris 10ème
19,750120,75020,75020,0,252492,143831987,221404,0,0,équipée,SL,1,1,8,2,19,285000,0,0,0,28,Appartement,Paris 20ème
4,750118,75018,75018,0,170542,146839619,202312,0,0,coin cuisine,SL,1,1,10,2,4,286000,0,0,0,30,Appartement,Paris 18ème
3,750118,75018,75018,0,58771,146831851,61322,0,0,américaine équipée,SL,1,1,3,2,3,287000,0,0,0,30,Appartement,Paris 18ème
14,750113,75013,75013,0,10696,148277205,2905,0,0,coin cuisine,SL,1,1,2,2,14,287000,0,0,0,30.2,Appartement,Paris 13ème
8,750117,75017,75017,0,119592,149136817,178277,0,0,américaine équipée,SL,1,1,5,2,8,287000,0,0,0,27,Appartement,Paris 17ème
9,750110,75010,75010,0,28750,149497551,26750,0,0,séparée,SL,1,1,5,2,9,287000,0,0,0,31.7,Appartement,Paris 10ème
12,750114,75014,75014,0,238206,149396117,268197,0,0,séparée,SL,1,1,11,2,12,288750,0,0,0,28.7,Appartement,Paris 14ème
13,750120,75020,75020,0,194027,138506933,150260,0,0,séparée,SL,1,1,5,2,13,289000,0,0,0,32,Appartement,Paris 20ème
15,750114,75014,75014,0,169208,149690527,215968,0,0,américaine équipée,SL,1,1,6,2,15,290000,0,0,0,31.95,Appartement,Paris 14ème
16,750110,75010,75010,0,334281,149805171,397582,0,0,équipée,SL,1,1,4,2,16,290000,0,0,0,30,Appartement,Paris 10ème
17,750119,75019,75019,0,334281,149805173,397582,0,0,équipée,SL,1,1,4,2,17,290000,0,0,0,30,Appartement,Paris 19ème
0,920033,92380,92380,0,116234,148718057,172836,0,0,séparée,SL,1,2,4,4,0,290000,0,0,0,61.56,Appartement,Garches
1,780146,78400,78400,0,1104,148996847,3478,0,0,séparée,SL,1,2,6,3,1,290000,1,0,0,65.28,Appartement,Chatou
3,940071,94370,94370,0,3149,149223897,31275,0,0,0,SL,1,2,8,4,3,290000,1,0,0,76.82,Appartement,Sucy en Brie
2,780350,78430,78430,0,7579,147812249,291,0,0,séparée équipée,SL,1,3,6,5,2,290000,1,0,0,80,Appartement,Louveciennes
3,750119,75019,75019,0,9014,146891529,923,0,0,coin cuisine,SL,1,1,5,2,3,290500,0,0,0,34,Appartement,Paris 19ème
14,750119,75019,75019,0,93638,149380763,140587,0,0,-1,SL,1,1,3,2,14,291000,0,0,0,25,Appartement,Paris 19ème
4,780481,78230,78230,0,103026,145029239,154302,0,0,séparée équipée,SL,1,2,3,3,4,291000,0,0,0,75,Appartement,Le Pecq
5,950210,95880,95880,0,10659,150116185,2940,0,0,équipée,SL,1,2,6,3,5,292000,0,0,0,62,Appartement,Enghien les Bains
6,780481,78230,78230,0,107041,148003011,160191,0,0,aucune,SL,1,1,8,2,6,294000,0,0,0,55.12,Appartement,Le Pecq
7,780481,78230,78230,0,103026,148100351,154302,0,0,américaine,SL,1,1,5,2,7,294000,0,0,0,55,Appartement,Le Pecq
8,780551,78100,78100,0,103026,148576191,154302,0,0,américaine,SL,1,1,5,2,8,294000,0,0,0,55,Appartement,Saint Germain en Laye
6,750115,75015,75015,0,55757,148939589,45982,0,0,séparée,SL,1,1,9,2,6,294000,0,0,0,27.6,Appartement,Paris 15ème
8,750104,75004,75004,0,37183,150039383,133660,0,0,équipée,SL,1,4,4,5,8,294000,1,0,0,73,Appartement,Paris 4ème
4,750112,75012,75012,0,9486,149681289,2217,0,0,séparée équipée,SL,1,1,9,2,4,295000,0,0,0,27,Appartement,Paris 12ème
10,750117,75017,75017,0,190624,145203923,245412,0,0,coin cuisine,SL,1,1,8,2,10,295000,1,0,0,20.45,Appartement,Paris 17ème
15,750118,75018,75018,0,93920,150136515,140505,0,0,américaine équipée,SL,1,1,5,2,15,295000,0,0,0,23,Appartement,Paris 18ème
16,750118,75018,75018,0,93919,150248163,140503,0,0,américaine équipée,SL,1,1,5,2,16,295000,0,0,0,23,Appartement,Paris 18ème
10,780551,78100,78100,0,42096,146016683,16649,0,0,équipée,SL,1,2,6,3,10,295000,1,0,0,62.44,Appartement,Saint Germain en Laye
13,770258,77185,77185,0,120489,147458135,179814,0,0,américaine équipée,SL,1,2,6,3,13,295000,0,0,0,63,Appartement,Lognes
16,940076,94800,94800,0,27956,148461197,107851,0,0,coin cuisine,SL,1,2,7,3,16,295000,0,0,0,54.26,Appartement,Villejuif
17,920023,92140,92140,0,59429,147640395,60950,0,0,américaine,SL,1,2,6,3,17,295000,0,0,0,50.35,Appartement,Clamart
9,780418,78360,78360,0,2436,139168923,4563,0,0,séparée,SL,1,3,8,5,9,295000,0,0,0,93,Appartement,Montesson
11,910687,91170,91170,0,2857,147281589,13745,0,0,équipée,SL,1,3,9,5,11,295000,0,0,0,107,Appartement,Viry Chatillon
12,780586,78500,78500,0,138200,147782025,200325,0,0,américaine équipée,SL,1,3,8,5,12,295000,0,0,0,91,Appartement,Sartrouville
14,930046,93190,93190,0,81078,148231685,77359,0,0,0,SL9,2,3,4,4,14,295000,1,0,0,69.55,Appartement,Livry-Gargan
15,780126,78170,78170,0,175026,148356705,220416,0,0,équipée,SL,1,3,8,4,15,295000,0,0,0,81,Appartement,La Celle Saint Cloud
18,780126,78170,78170,0,7579,149173551,291,0,0,américaine équipée,SL,1,3,7,4,18,295000,1,0,0,72,Appartement,La Celle Saint Cloud
19,780123,78955,78955,0,8626,149832251,26555,0,0,0,SL,1,3,7,5,19,295000,0,0,0,114,Appartement,Carrières sous Poissy
17,750118,75018,75018,0,58771,145834489,61322,0,0,américaine équipée,SL,1,1,4,2,17,296000,0,0,0,30,Appartement,Paris 18ème
1,750115,75015,75015,0,65550,121077645,82257,0,0,séparée,SL,1,1,2,2,1,297750,0,0,0,63.1,Appartement,Paris 15ème
2,750113,75013,75013,0,41757,147578905,16333,0,0,américaine équipée,SL,1,1,8,2,2,298000,0,0,0,25,Appartement,Paris 13ème
11,750118,75018,75018,0,92245,150034107,138677,0,0,séparée,SL,1,1,4,2,11,299000,0,0,0,25,Appartement,Paris 18ème
18,750103,75003,75003,0,36379,150079053,7654,0,0,coin cuisine,SL,1,1,9,2,18,299000,0,0,0,23,Appartement,Paris 3ème
4,750120,75020,75020,0,90591,145694389,120514,0,0,séparée équipée,SL,1,1,10,2,4,299000,0,0,0,30,Appartement,Paris 20ème
19,750114,75014,75014,0,104947,147604211,157594,0,0,0,SL,1,1,10,2,19,300000,0,0,0,30.4,Appartement,Paris 14ème
10,750114,75014,75014,0,28206,146769253,3544,0,0,0,SL,1,1,5,2,10,300000,0,0,0,23,Appartement,Paris 14ème
13,750120,75020,75020,0,64335,149538285,78516,0,0,séparée,SL,1,1,5,2,13,300000,0,0,0,31,Appartement,Paris 20ème
14,750115,75015,75015,0,118790,149698727,175851,0,0,0,SL,1,1,7,2,14,300000,0,0,0,31,Appartement,Paris 15ème
17,750116,75016,75016,0,47006,145610709,23299,0,0,séparée,SL,1,1,10,2,17,305000,0,0,0,31.96,Appartement,Paris 16ème
18,750117,75017,75017,0,280531,145622985,322783,0,0,0,SL,1,1,4,2,18,305000,0,0,0,30,Appartement,Paris 17ème
3,750111,75011,75011,0,89314,149258789,136340,0,0,0,SL,1,1,10,2,3,307000,0,0,0,27,Appartement,Paris 11ème
4,750105,75005,75005,0,1454,149782409,2963,0,0,aucune,SL,1,1,3,2,4,307400,0,0,0,28.02,Appartement,Paris 5ème
6,750118,75018,75018,0,1305,149338531,2669,0,0,américaine équipée,SL,1,1,7,2,6,307500,0,0,0,27.44,Appartement,Paris 18ème
11,750118,75018,75018,0,58771,143427055,61322,0,0,coin cuisine,SL,1,1,4,2,11,310000,0,0,0,31.71,Appartement,Paris 18ème
12,750118,75018,75018,0,31870,147711509,14747,0,0,aucune,SL,1,1,7,2,12,310000,0,0,0,29.68,Appartement,Paris 18ème
15,750110,75010,75010,0,75789,149247977,114377,0,0,0,SL,1,1,5,2,15,310000,1,0,0,25,Appartement,Paris 10ème
16,750110,75010,75010,0,45437,149744865,3706,0,0,coin cuisine,SL,1,1,18,2,16,310000,0,0,0,24.6,Appartement,Paris 10ème
